"record_id","title","year","source_type","publication_status","original_layer","round2_layer","task_category","is_analytical_core","core_id","system_alias","a_level_original","primary_evidence_stage_original","external_evidence_profile_original","evidence_object_original","artifact_status_original","official_url","doi","inclusion_or_exclusion_reason","round2_audit_note"
"CP013","Bridging the gap between LLMs and structured program vulnerability analysis: an agent reasoning approach with first-order logic modeling","2025","journalArticle","needs_manual_verification","Supporting","Eligible Supporting","Discovery","no","NA","NA","NA","NA","NA","NA","NA","https://www.sciencedirect.com/science/article/abs/pii/S0957417425037212","10.1016/j.eswa.2025.130105","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP014","UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report","2025-10-30","conferencePaper","needs_manual_verification","Core","Analytical Core","Discovery","yes","C01","UniFuzz","A3","E2","NA","????","论文称提供open-source implementation；需同学B核验仓库链接和复现脚本。","urn:isbn:979-8-3315-6687-6","NA","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP015","ReForge: a customizable AI-driven framework for end-to-end exploit generation and analysis","2025-11-2","conferencePaper","needs_manual_verification","Core","Analytical Core","Localization","yes","C02","ReForge","A3","E3","NA","????","论文给出GitHub：https://github.com/Sohan245/ReForge；需同学B核验。","urn:isbn:979-8-3315-5397-5","10.1109/FMLDS67896.2025.00022","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP016","Should we evaluate LLM based security analysis approaches on open source systems?","2025-11-16","conferencePaper","needs_manual_verification","Background","Background Context","Benchmark/Evaluation","no","NA","NA","NA","NA","NA","NA","NA","urn:isbn:979-8-3503-5733-2","10.1109/ASE63991.2025.00265","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP017","Explaining software vulnerabilities with large language models","2025-11-16","conferencePaper","needs_manual_verification","Background","Background Context","Discovery","no","NA","NA","NA","NA","NA","NA","NA","urn:isbn:979-8-3315-8503-7","10.1109/ASEW67777.2025.00045","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP018","An empirical evaluation of LLM-based approaches for code vulnerability detection: RAG, SFT, and dual-agent systems","2025-11-10","conferencePaper","needs_manual_verification","Supporting","Eligible Supporting","Benchmark/Evaluation","no","NA","NA","NA","NA","NA","NA","NA","urn:isbn:979-8-3315-9948-5","10.1109/CASCON66301.2025.00045","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP019","LEGEM: a scalable and adversarial-resilient framework for cross-platform IoT binary vulnerability detection","2026","journalArticle","needs_manual_verification","Background","Background Context","Discovery","no","NA","NA","NA","NA","NA","NA","NA","https://ieeexplore.ieee.org/abstract/document/11235936","10.1109/JIOT.2025.3630683","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP020","Towards more accurate static analysis for taint-style bug detection in linux kernel","2025","conferencePaper","needs_manual_verification","Background","Background Context","Validation","no","NA","NA","NA","NA","NA","NA","NA","https://www.cs.ucr.edu/~zhiyunq/pub/ase25_buglens.pdf","10.1109/ASE63991.2025.00039","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP021","VerilogLAVD: LLM-aided rule generation for vulnerability detection in verilog","2026","preprint","preprint_or_arxiv_from_local_metadata","Background","Background Context","Discovery","no","NA","NA","NA","NA","NA","NA","NA","https://arxiv.org/abs/2508.13092","10.48550/ARXIV.2508.13092","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP022","Real-world code vulnerability detection framework: from data preprocessing to multi-feature fusion detection","2025","journalArticle","needs_manual_verification","Background","Background Context","Discovery","no","NA","NA","NA","NA","NA","NA","NA","https://ieeexplore.ieee.org/abstract/document/11134102","10.1109/TDSC.2025.3601228","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP023","Examining the feasibility and influencing factors of large language models in source code security analysis","2025","thesis","needs_manual_verification","Background","Background Context","Discovery","no","NA","NA","NA","NA","NA","NA","NA","https://stars.library.ucf.edu/etd2024/340/","NA","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP024","HyFuzz: a hybrid AI-enhanced vulnerability detection framework","2025","conferencePaper","needs_manual_verification","Background","Background Context","Discovery","no","NA","NA","NA","NA","NA","NA","NA","urn:isbn:979-8-3315-9788-7","10.1109/RTSI64020.2025.11212261","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP025","Multi-agent collaborative fuzzing with continuous reflection for smart contracts vulnerability detection","2025","preprint","preprint_or_arxiv_from_local_metadata","Core","Analytical Core","Discovery","yes","C03","Multi-Agent Collaborative Smart Contract Fuzzing","A4","E2","NA","????","待同学B核验是否开源、DApp列表和复现脚本。","https://arxiv.org/abs/2511.12164","10.48550/arXiv.2511.12164","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP026","Advancing binary code similarity detection via context-content fusion and LLM verification","2025","conferencePaper","project_or_benchmark_page_from_local_metadata","Background","Background Context","Discovery","no","NA","NA","NA","NA","NA","NA","NA","https://gentlecp.github.io/pdfs/Co2FuLL_ASE_2025.pdf","10.1109/ASE63991.2025.00033","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP027","Exploring static taint analysis in LLMs:a dynamic benchmarking framework for measurement and enhancement","2025","conferencePaper","project_or_benchmark_page_from_local_metadata","Supporting","Eligible Supporting","Benchmark/Evaluation","no","NA","NA","NA","NA","NA","NA","NA","https://yuanxzhang.github.io/paper/LLMTaint-ase25.pdf","10.1109/ASE63991.2025.00082","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP028","LOSVER: line-level modifiability signal-guided vulnerability detection and classification","2025-11-16","conferencePaper","needs_manual_verification","Background","Background Context","Discovery","no","NA","NA","NA","NA","NA","NA","NA","https://ieeexplore.ieee.org/abstract/document/11334430","10.1109/ASE63991.2025.00092","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP029","LLM-assisted security vulnerability analysis for educational websites: risk identification via LLM-EduAttackGraph","2025","journalArticle","needs_manual_verification","Background","Background Context","Discovery","no","NA","NA","NA","NA","NA","NA","NA","https://ieeexplore.ieee.org/abstract/document/11258892","10.1109/JIOT.2025.3631562","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP030","A novel approach for software vulnerability detection based on ensemble learning model","2025","journalArticle","needs_manual_verification","Background","Background Context","Discovery","no","NA","NA","NA","NA","NA","NA","NA","https://www.sciencedirect.com/science/article/abs/pii/S0045790625007918","10.1016/j.compeleceng.2025.110848","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP031","Source code vulnerability detection with LLMs: a systematic evaluation of fine-tuning, and multimodal fusion of code text and software metrics","2025","preprint","preprint_or_arxiv_from_local_metadata","Background","Background Context","Benchmark/Evaluation","no","NA","NA","NA","NA","NA","NA","NA","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5782211","10.2139/ssrn.5782211","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP032","LLMs as firmware experts: a runtime-grown tree-of-agents framework","2025","preprint","preprint_or_arxiv_from_local_metadata","Supporting","Eligible Supporting","Discovery","no","NA","NA","NA","NA","NA","NA","NA","https://arxiv.org/abs/2511.18438","10.48550/ARXIV.2511.18438","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP033","Large language model based smart contract auditing with LLMBugScanner","2025","preprint","preprint_or_arxiv_from_local_metadata","Background","Background Context","Discovery","no","NA","NA","NA","NA","NA","NA","NA","https://arxiv.org/abs/2512.02069","10.48550/ARXIV.2512.02069","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP034","Large language models cannot reliably detect vulnerabilities in JavaScript: the first systematic benchmark and evaluation","2025","preprint","preprint_or_arxiv_from_local_metadata","Background","Background Context","Benchmark/Evaluation","no","NA","NA","NA","NA","NA","NA","NA","https://arxiv.org/abs/2512.01255","10.48550/ARXIV.2512.01255","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP035","Enhancing static vulnerability alert validation using large language models","2025","preprint","preprint_or_arxiv_from_local_metadata","Supporting","Eligible Supporting","Validation","no","NA","NA","NA","NA","NA","NA","NA","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5845441","10.2139/ssrn.5845441","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP036","BF-WeakWeb-2025: a novel dataset and LLM benchmark for web vulnerability detection in Burkina Faso","2025","conferencePaper","needs_manual_verification","Background","Background Context","Discovery","no","NA","NA","NA","NA","NA","NA","NA","https://ieeexplore.ieee.org/abstract/document/11288830","10.1109/CommNet68224.2025.11288830","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP037","Research on AIGC-based vulnerability detection and repair systems","2025-12-5","conferencePaper","needs_manual_verification","Background","Background Context","Remediation","no","NA","NA","NA","NA","NA","NA","NA","urn:isbn:979-8-3315-5652-5","10.1109/ITCEM68692.2025.00031","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP038","Software vulnerability detection based on LLM","2025-12-5","conferencePaper","needs_manual_verification","Background","Background Context","Discovery","no","NA","NA","NA","NA","NA","NA","NA","urn:isbn:979-8-3315-1355-9","10.1109/IMCEC66174.2025.11331753","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP039","Performance of open-source large language models in smart contract vulnerability detection","2025-12-5","conferencePaper","needs_manual_verification","Background","Background Context","Benchmark/Evaluation","no","NA","NA","NA","NA","NA","NA","NA","urn:isbn:979-8-3315-3806-4","10.1109/ICBCTIS66509.2025.11387384","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP040","DeepDesc: integrating retrieval-augmented generation with large language models for smart contract vulnerability detection","2025","journalArticle","needs_manual_verification","Background","Background Context","Discovery","no","NA","NA","NA","NA","NA","NA","NA","https://link.springer.com/article/10.1007/s10664-025-10770-7","10.1007/s10664-025-10770-7","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP041","Fine-tuning a vulnerability-specific large language model for a hybrid software vulnerability detection method","2025","journalArticle","needs_manual_verification","Background","Background Context","Discovery","no","NA","NA","NA","NA","NA","NA","NA","https://www.sciencedirect.com/science/article/abs/pii/S0952197625034414","10.1016/j.engappai.2025.113410","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP042","Enhancing python code security: a comparison of machine learning, ChatGPT, and static analysis methods","2025-12-6","conferencePaper","needs_manual_verification","Supporting","Eligible Supporting","Benchmark/Evaluation","no","NA","NA","NA","NA","NA","NA","NA","urn:isbn:978-1-6654-5756-9","10.1109/ICECER65523.2025.11401125","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP043","Beyond prompting: the role of phrasing tasks in vulnerability prediction for java","2025-12-08","journalArticle","needs_manual_verification","Background","Background Context","Benchmark/Evaluation","no","NA","NA","NA","NA","NA","NA","NA","https://link.springer.com/article/10.1186/s42400-025-00476-0","10.1186/s42400-025-00476-0","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP044","A vulnerability detection scheme for smart contracts based on large language models and deep learning techniques","2026","journalArticle","needs_manual_verification","Background","Background Context","Discovery","no","NA","NA","NA","NA","NA","NA","NA","https://openurl.ebsco.com/EPDB%3Agcd%3A11%3A7778651/detailv2?sid=ebsco%3Aplink%3Ascholar&id=ebsco%3Agcd%3A190869272&crl=c&link_origin=scholar.google.com","10.6688/JISE.202601_42(1).0008","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP045","Leveraging LLM agents for autonomous web penetration testing targeting SQL injection vulnerability","2025-12-8","conferencePaper","needs_manual_verification","Supporting","Eligible Supporting","Discovery","no","NA","NA","NA","NA","NA","NA","NA","urn:isbn:979-8-3315-9447-3","10.1109/BigData66926.2025.11402114","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP046","Trust-calibrated multi-stage large language model pipeline for vulnerability assessment in DevSecOps workflows","2025-12-8","conferencePaper","needs_manual_verification","Background","Background Context","Discovery","no","NA","NA","NA","NA","NA","NA","NA","urn:isbn:979-8-3315-4536-9","10.1109/ACSACW69556.2025.00074","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP047","A benchmark dataset for code-level vulnerability detection and analysis","2025-12-8","conferencePaper","needs_manual_verification","Background","Background Context","Benchmark/Evaluation","no","NA","NA","NA","NA","NA","NA","NA","https://ieeexplore.ieee.org/abstract/document/11402559","10.1109/BigData66926.2025.11402559","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP048","A survey on the role of LLMs in AI-based software development: augmentation and latent risks","2025-12-8","conferencePaper","needs_manual_verification","Excluded","Excluded","Discovery","no","NA","NA","NA","NA","NA","NA","NA","https://ieeexplore.ieee.org/abstract/document/11401846","10.1109/BigData66926.2025.11401846","主题偏泛软件开发/agent应用安全，不直接服务agentic漏洞挖掘主线","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP049","LLM-based vulnerability detection in decompiled binary code for automated reverse engineering","2026","conferencePaper","needs_manual_verification","Background","Background Context","Discovery","no","NA","NA","NA","NA","NA","NA","NA","https://link.springer.com/chapter/10.1007/978-3-032-22062-2_6","10.1007/978-3-032-22062-2_6","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP050","Unified artificial intelligence and formal reasoning approach to software security","2025-12-10","conferencePaper","needs_manual_verification","Background","Background Context","Remediation","no","NA","NA","NA","NA","NA","NA","NA","urn:isbn:979-8-3315-5664-8","10.1109/ICMNWC66779.2025.11354207","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP051","Generalizable secure code generation framework for robust software development practices","2025-12-10","conferencePaper","needs_manual_verification","Excluded","Excluded","Attribution","no","NA","NA","NA","NA","NA","NA","NA","https://ieeexplore.ieee.org/abstract/document/11354349","10.1109/ICMNWC66779.2025.11354349","主题偏泛软件开发/agent应用安全，不直接服务agentic漏洞挖掘主线","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP052","From lab to reality: a practical evaluation of deep learning models and LLMs for vulnerability detection","2025","preprint","preprint_or_arxiv_from_local_metadata","Background","Background Context","Benchmark/Evaluation","no","NA","NA","NA","NA","NA","NA","NA","https://arxiv.org/abs/2512.10485","10.48550/ARXIV.2512.10485","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP053","Research status and analysis of LLM-based methods for code audit","2025-12-12","conferencePaper","needs_manual_verification","Background","Background Context","Discovery","no","NA","NA","NA","NA","NA","NA","NA","urn:isbn:979-8-3315-6825-2","10.1109/ICICSE66971.2025.11429962","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP054","LLM-guided initial seed selection for black-box IoT fuzzing to enhance vulnerability detection","2025-12-14","conferencePaper","needs_manual_verification","Background","Background Context","Validation","no","NA","NA","NA","NA","NA","NA","NA","urn:isbn:979-8-3315-9143-4","10.1109/ComComAp68359.2025.11353192","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP055","Poster: boosting inter-procedural vulnerability detection via retrieval-augmented generation","2025-12-14","conferencePaper","needs_manual_verification","Background","Background Context","Discovery","no","NA","NA","NA","NA","NA","NA","NA","urn:isbn:979-8-3315-4901-5","10.1109/ICPADS67057.2025.11323228","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP056","The impact of prompt language and representation on LLM reasoning: a multilingual empirical study","2025","journalArticle","needs_manual_verification","Excluded","Excluded","Benchmark/Evaluation","no","NA","NA","NA","NA","NA","NA","NA","https://ieeexplore.ieee.org/abstract/document/11318327","10.1109/ACCESS.2025.3649535","与本文核心范围关系较弱","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP057","A comprehensive assessment of OpenAI’s large language models for detecting vulnerabilities in source code","2026","journalArticle","needs_manual_verification","Background","Background Context","Benchmark/Evaluation","no","NA","NA","NA","NA","NA","NA","NA","https://www.sciencedirect.com/science/article/pii/S1877050926001080","10.1016/j.procs.2026.01.107","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP058","Adaptive hierarchical evaluation of LLMs and SAST tools for CWE prediction in python","2026","preprint","preprint_or_arxiv_from_local_metadata","Background","Background Context","Benchmark/Evaluation","no","NA","NA","NA","NA","NA","NA","NA","https://arxiv.org/abs/2601.01320","10.48550/ARXIV.2601.01320","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP059","Source code vulnerability detection based on deep learning: a review","2026-01-04","journalArticle","published_or_indexed_from_local_metadata","Background","Background Context","Discovery","no","NA","NA","NA","NA","NA","NA","NA","https://link.springer.com/article/10.1186/s42400-025-00518-7","10.1186/s42400-025-00518-7","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP060","Automating fuzz driver generation for deep learning libraries with large language models","2026-01-04","journalArticle","needs_manual_verification","Background","Background Context","Validation","no","NA","NA","NA","NA","NA","NA","NA","https://link.springer.com/article/10.1186/s42400-025-00532-9","10.1186/s42400-025-00532-9","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP061","All you need is a fuzzing brain: an LLM-powered system for automated vulnerability detection and patching","2025","preprint","preprint_or_arxiv_from_local_metadata","Core","Analytical Core","Discovery","yes","C04","FuzzingBrain","A3--A5","E3","NA","????","论文给出GitHub仓库：github.com/o2lab/afc-crs-all-you-need-is-a-fuzzing-brain；需同学B核验。","https://arxiv.org/abs/2509.07225","10.48550/ARXIV.2509.07225","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
